Crop_Type,Temperature_C,Rainfall_mm,Irrigation_mm,N_Fertilizer,P_Fertilizer,K_Fertilizer,Yield_kg_per_ha
Soybean,22.18,682.26,89.99,67.96,36.93,53.2,639.36
Maize,18.6,1098.97,388.09,102.84,68.3,17.66,866.95
Rice,29.36,660.05,269.16,158.59,76.84,19.04,2949.28
Soybean,28.25,992.14,312.42,172.0,37.09,53.76,109.62
Soybean,24.5,742.85,190.77,158.41,46.95,33.06,167.7
Wheat,34.23,897.22,562.22,48.23,20.24,58.36,285.67
Rice,19.65,455.69,456.01,163.33,37.06,64.2,3038.21
Soybean,17.37,825.56,189.03,46.46,36.02,27.1,316.56
Maize,21.54,0.0,99.81,155.92,43.7,55.87,829.71
Maize,24.77,743.93,242.15,105.29,46.66,24.89,3761.51
Wheat,26.22,310.86,365.18,148.1,51.2,84.66,2381.06
Soybean,23.79,1161.8,336.03,66.7,44.75,26.14,184.05
Rice,26.76,1033.22,487.97,166.85,15.79,60.52,2330.39
Maize,18.74,940.0,418.49,61.4,21.23,56.88,1417.98
Soybean,32.22,1256.3,445.44,93.26,29.07,46.32,105.31
Soybean,24.59,515.33,349.03,80.08,34.36,26.59,310.23
Wheat,30.59,1324.21,91.61,49.83,61.02,36.97,298.83
Maize,26.71,1079.66,270.65,123.78,16.74,0.0,1786.14
Maize,27.28,729.03,459.01,192.24,32.85,44.49,3285.04
Rice,27.85,1140.69,292.27,226.68,59.06,46.99,2362.7
Maize,27.24,468.11,375.46,123.89,34.0,42.67,3146.55
Rice,28.21,552.65,252.19,164.67,49.21,0.0,2938.35
Maize,31.65,617.42,145.53,129.28,37.21,14.69,4062.4
Wheat,25.98,641.31,281.5,139.96,45.14,25.04,1565.97
Maize,28.55,483.03,346.36,106.31,35.43,45.83,3865.32
Rice,24.55,1166.92,201.65,127.8,53.34,45.79,2458.08
Rice,32.2,722.34,264.64,141.5,9.1,36.6,2715.31
Wheat,21.62,905.75,159.08,96.86,32.73,52.7,1009.1
Maize,34.0,628.89,467.89,116.9,45.93,19.48,2771.62
Maize,24.8,253.82,255.83,117.66,50.67,52.2,3141.91
Wheat,17.85,881.02,517.91,153.06,69.86,49.49,473.84
Maize,25.64,226.32,529.31,77.36,32.18,47.55,2654.73
Maize,21.59,779.41,287.84,117.94,69.59,36.36,3396.83
Rice,29.2,389.51,148.73,196.48,26.82,76.61,1846.69
Maize,21.74,1396.18,0.0,166.56,66.57,49.86,1809.69
Maize,22.77,1073.41,79.19,173.97,56.35,20.63,3588.45
Wheat,15.55,831.73,93.92,120.98,21.73,44.97,1902.87
Wheat,22.74,1179.11,506.77,132.84,46.14,55.05,533.23
Soybean,12.88,546.11,317.37,160.09,38.98,28.24,250.41
Rice,17.08,963.04,358.44,182.41,52.51,61.79,2981.11
Maize,28.8,859.94,0.0,41.94,35.53,47.64,1517.13
Maize,28.93,879.21,120.31,67.38,33.86,0.0,2004.42
Soybean,27.13,1181.71,433.06,172.38,67.38,45.99,119.14
Maize,20.17,1019.75,343.02,108.92,38.03,31.88,1554.48
Rice,24.76,886.62,277.92,93.13,56.53,50.74,2775.6
Soybean,24.98,303.53,384.73,69.83,35.49,58.88,655.07
Rice,19.21,511.99,545.37,97.8,73.33,43.9,2108.68
Soybean,32.52,763.19,266.84,63.91,26.43,73.31,181.61
Soybean,29.39,828.01,310.41,203.64,27.72,36.43,102.48
Wheat,23.9,460.94,328.89,119.1,70.49,52.5,2145.56
Rice,25.13,1523.5,658.82,117.68,31.1,56.1,987.33
Maize,26.04,1254.92,0.0,143.52,72.02,38.05,2533.72
Maize,14.79,980.64,402.48,158.49,57.84,55.58,1739.35
Rice,23.76,821.61,282.78,157.84,36.91,28.11,3359.46
Maize,21.59,736.34,385.02,162.94,3.73,31.55,2558.47
Maize,19.99,514.42,201.39,94.77,39.61,13.75,3459.3
Rice,23.59,823.24,292.66,108.09,42.03,44.83,2605.28
Soybean,33.99,877.33,406.71,150.76,63.34,46.51,119.06
Rice,28.2,427.47,766.94,98.9,71.77,63.59,2516.35
Soybean,22.14,900.25,421.21,119.8,26.3,55.82,138.51
Maize,27.86,753.42,172.79,135.95,56.02,34.3,3217.73
Maize,32.0,227.66,236.44,151.41,55.31,16.44,3216.34
Maize,29.62,541.88,231.99,48.89,61.47,48.66,1999.42
Wheat,25.3,675.92,30.65,148.59,49.97,62.22,1917.69
Soybean,21.77,1366.31,250.49,110.65,1.15,55.1,108.96
Wheat,28.49,966.97,409.92,148.3,36.89,61.69,465.65
Wheat,26.97,399.36,108.87,151.08,16.89,35.76,2078.25
Rice,29.48,945.81,457.27,184.32,35.95,30.67,2538.18
Wheat,28.18,335.81,373.17,174.14,59.6,25.26,1865.92
Rice,30.25,1124.81,189.87,173.86,46.1,38.88,3086.64
Rice,22.32,658.66,278.77,177.75,62.96,38.43,2665.34
Wheat,31.59,771.91,539.75,131.66,46.84,44.13,548.78
Soybean,25.99,1197.74,410.03,121.29,14.03,37.41,108.03
Soybean,35.38,413.85,301.32,154.91,0.0,37.33,427.68
Soybean,21.55,380.86,264.35,149.28,42.98,24.47,655.22
Soybean,33.68,624.92,311.49,107.64,35.72,58.83,133.51
Soybean,25.99,1111.51,223.24,136.19,20.46,41.53,104.27
Wheat,21.74,344.2,0.0,118.6,5.99,36.51,1689.01
Wheat,22.58,0.0,606.33,85.84,25.31,25.05,2547.85
Maize,23.4,664.65,323.3,171.62,36.11,13.36,3642.4
Soybean,27.12,965.52,359.72,122.21,53.32,66.16,116.96
Wheat,27.61,1160.08,291.31,201.95,43.77,51.09,266.35
Maize,22.13,661.05,189.73,54.98,72.16,7.52,2294.23
Soybean,24.88,676.57,272.11,97.73,19.29,55.26,117.85
Rice,35.71,1146.17,60.09,121.31,57.62,58.45,3569.39
Maize,33.64,239.08,641.56,165.5,40.95,42.49,3986.55
Wheat,27.18,683.44,114.82,135.98,53.89,71.96,2420.52
Rice,25.19,857.13,145.21,132.42,31.27,44.33,3110.87
Rice,25.6,934.77,233.96,74.91,61.43,11.66,2248.35
Rice,28.07,647.06,493.21,73.72,45.9,47.3,2098.1
Maize,19.89,810.33,302.18,132.9,26.41,44.9,3264.99
Wheat,23.71,53.5,114.58,65.44,39.76,27.93,1008.5
Rice,16.66,602.53,488.15,98.72,35.21,51.47,2481.34
Soybean,27.0,936.05,409.65,140.04,49.78,6.65,122.0
Rice,28.24,505.31,380.77,80.71,16.4,59.81,2478.9
Rice,22.58,817.7,407.36,184.21,39.41,22.44,3433.58
Maize,32.87,934.06,659.15,168.96,47.91,20.3,865.12
Maize,18.87,697.24,627.76,57.14,40.66,37.72,1456.89
Wheat,17.68,851.14,196.99,82.71,66.94,48.66,937.43
Soybean,26.12,511.18,543.58,28.57,55.48,43.28,296.1
Maize,30.24,738.02,357.48,88.7,39.85,25.15,2920.01
Rice,33.42,983.06,374.86,150.66,44.33,29.88,2683.75
Wheat,22.71,847.09,46.16,103.44,45.91,17.34,1776.51
Rice,30.39,624.04,274.44,138.43,48.07,35.51,3279.69
Rice,24.81,867.26,178.08,59.11,3.49,61.5,1697.78
Maize,24.14,1014.38,424.21,151.92,33.97,39.91,1226.38
Wheat,29.42,185.02,460.66,97.8,10.31,57.19,2768.8
Soybean,28.26,1147.72,0.0,120.49,65.57,69.11,134.36
Soybean,17.12,699.12,296.69,116.29,38.78,28.24,125.19
Maize,32.38,927.65,468.28,69.14,36.13,36.27,1107.42
Maize,31.9,1159.17,272.0,73.88,57.94,83.42,947.54
Wheat,21.87,388.5,409.36,158.71,48.45,68.89,2056.47
Soybean,26.98,587.17,352.67,135.96,17.43,6.55,157.13
Soybean,27.47,713.44,351.25,162.0,38.58,47.74,122.86
Soybean,26.3,564.87,259.3,132.99,33.3,40.01,423.15
Rice,22.25,1320.48,117.51,125.72,5.11,56.53,2555.39
Soybean,21.64,542.97,131.77,50.96,26.19,25.1,1220.3
Rice,24.87,633.34,406.4,109.19,36.33,23.21,2629.33
Wheat,30.86,861.32,302.92,118.9,37.7,26.48,445.71
Rice,27.72,439.36,279.22,198.12,10.36,28.56,2226.86
Wheat,23.15,681.3,236.42,147.48,63.03,56.31,1777.45
Soybean,28.86,895.24,254.22,181.44,37.96,16.38,126.29
Soybean,10.76,700.14,457.04,143.9,40.75,27.55,146.05
Wheat,30.74,771.98,249.71,91.55,48.01,4.22,1250.64
Maize,16.3,641.2,98.84,124.68,24.24,60.14,4020.79
Wheat,23.19,345.66,411.55,129.45,49.13,65.42,2329.47
Maize,19.4,896.48,269.27,82.43,32.66,33.46,2621.27
Rice,18.53,1326.48,304.71,104.62,22.07,34.04,2946.78
Rice,30.8,805.52,541.14,111.77,51.47,49.06,2912.64
Rice,22.66,867.58,296.92,184.22,69.83,69.49,2561.14
Soybean,26.73,1007.82,343.38,36.77,54.5,48.17,281.78
Rice,24.77,419.2,123.16,168.23,58.46,26.05,2126.7
Maize,27.39,1310.75,267.05,82.53,29.59,7.62,593.93
Rice,25.38,860.7,391.43,65.12,8.05,17.7,2191.17
Wheat,18.59,1289.56,66.69,167.2,69.8,41.46,443.43
Wheat,29.98,580.09,330.13,149.28,81.09,26.89,1725.68
Soybean,22.53,1345.42,315.12,170.18,70.86,43.9,112.37
Wheat,17.22,1032.55,306.19,152.03,33.28,28.94,483.62
Maize,22.86,965.91,455.57,202.39,16.91,18.84,1851.39
Rice,32.5,870.21,350.17,142.35,18.69,16.46,3296.54
Soybean,29.25,725.44,521.71,113.74,6.33,71.25,126.42
Rice,23.26,1160.16,150.96,133.72,37.85,57.78,3242.35
Rice,23.25,842.11,320.39,169.74,72.11,74.61,2836.55
Maize,23.39,209.88,312.67,88.82,37.17,50.8,2492.52
Wheat,35.38,464.84,139.61,93.92,46.05,31.4,2205.51
Wheat,26.91,744.25,443.44,107.64,67.51,66.47,488.59
Rice,27.15,893.0,648.7,35.82,31.92,39.34,1130.6
Soybean,30.15,783.02,297.45,125.52,80.71,44.42,134.5
Wheat,26.19,1165.69,375.75,44.55,79.84,39.14,291.09
Soybean,23.7,214.67,312.68,122.12,37.38,0.0,550.19
Wheat,24.02,843.08,192.96,154.61,28.45,72.09,1293.54
Soybean,24.64,254.61,26.89,100.92,53.94,49.82,463.5
Maize,24.81,1027.91,194.13,187.08,33.05,46.6,2926.55
Soybean,28.64,771.66,91.21,61.58,16.87,38.76,536.44
Maize,25.26,925.88,555.62,167.65,65.62,43.27,968.0
Maize,28.66,540.84,282.73,147.01,64.33,28.05,4341.08
Soybean,24.6,1183.84,248.11,51.36,43.11,52.33,294.62
Maize,25.39,1112.52,433.37,228.43,14.74,13.86,858.47
Rice,15.01,975.06,131.74,117.45,15.41,43.72,2650.22
Maize,29.58,761.14,184.97,84.9,42.14,51.23,2826.92
Wheat,26.73,973.96,310.21,63.72,30.0,36.03,393.36
Soybean,29.99,587.93,454.32,111.2,33.18,47.42,123.17
Rice,10.52,1056.67,375.25,114.9,60.44,20.17,2334.54
Soybean,35.44,1294.84,337.25,124.11,54.66,20.68,121.33
Wheat,24.3,1121.18,311.72,108.09,67.56,44.73,424.52
Wheat,30.54,581.12,360.04,145.33,20.19,53.57,1675.59
Wheat,19.8,908.43,330.25,104.49,33.14,2.5,387.11
Maize,28.06,412.06,145.5,42.6,55.18,50.44,1254.33
Maize,19.73,971.72,306.91,114.03,48.96,29.14,2409.29
Soybean,21.88,935.18,138.95,25.3,70.65,36.14,247.14
Soybean,34.57,239.06,312.16,134.15,48.41,13.21,535.05
Rice,24.05,451.46,227.9,80.83,76.96,22.97,2168.79
Rice,26.09,715.06,680.91,126.53,50.8,59.32,2942.83
Soybean,29.35,709.74,294.02,172.56,61.24,40.66,130.47
Maize,27.48,437.16,89.36,82.05,33.53,32.34,2456.51
Wheat,25.75,916.69,279.87,162.45,40.29,37.67,555.95
Soybean,26.82,875.44,377.9,102.66,58.22,49.78,112.75
Rice,37.02,741.72,551.0,190.13,72.26,48.81,3254.97
Maize,24.71,573.26,211.58,105.39,54.58,38.5,3298.84
Soybean,26.01,1114.61,62.64,86.38,38.34,61.86,100.15
Soybean,30.25,1296.62,422.53,147.49,67.55,59.41,125.79
Maize,30.53,654.93,92.91,102.57,0.0,48.27,3356.49
Soybean,30.94,616.35,234.58,86.34,11.56,41.09,272.43
Maize,28.19,947.36,261.36,100.89,53.63,53.15,2170.68
Wheat,19.28,692.59,289.55,118.22,40.28,46.29,1481.87
Maize,33.17,758.18,403.37,173.69,52.11,61.22,3290.3
Maize,19.27,1021.9,197.45,42.64,41.29,57.99,926.2
Maize,26.51,227.19,258.94,120.92,51.42,19.63,3342.21
Soybean,21.23,1195.49,297.86,145.0,23.71,18.28,114.07
Soybean,24.68,821.8,322.44,127.74,51.41,25.98,104.02
Maize,26.64,676.55,314.67,172.39,59.89,59.52,4119.09
Soybean,26.61,773.23,365.4,117.03,64.41,8.47,119.72
Rice,27.11,788.73,426.58,112.62,80.27,47.9,3158.11
Rice,33.07,280.64,358.9,143.69,44.88,47.25,2444.03
Soybean,27.27,1248.48,368.04,123.97,45.48,63.25,119.98
Soybean,23.78,812.4,62.67,104.38,9.54,43.61,258.38
Maize,29.82,932.9,307.53,140.65,29.37,13.14,2784.03
Wheat,30.95,1085.46,371.93,93.9,36.14,20.81,457.02
Soybean,18.86,493.65,409.34,95.55,61.01,16.36,192.31
Rice,27.99,942.04,196.15,98.88,27.78,29.24,2810.69
Maize,28.51,719.71,201.14,174.12,55.93,36.34,3848.18
Soybean,23.51,1054.03,213.88,0.0,39.97,16.69,120.4
Rice,31.88,161.83,380.46,135.82,36.46,69.41,2306.92
Rice,24.25,770.27,455.08,121.37,44.98,13.49,2857.95
Wheat,25.63,619.15,238.88,52.77,32.18,66.92,1410.61
Maize,24.13,929.68,436.19,132.39,31.42,63.7,1748.82
Maize,25.08,941.01,318.52,139.03,5.9,57.97,2652.38
Wheat,19.52,587.71,281.36,143.59,35.04,26.12,1988.56
Wheat,17.8,586.35,268.29,13.93,30.4,46.85,893.74
Maize,32.97,766.8,411.99,174.66,29.68,14.45,2920.96
Maize,20.77,531.01,348.84,90.49,48.34,58.22,2854.71
Soybean,20.04,1052.6,641.37,147.46,53.17,38.52,129.51
Soybean,14.23,689.24,172.17,149.64,44.64,31.81,293.76
Wheat,21.81,0.0,377.72,84.93,59.91,15.53,1796.67
Soybean,18.38,687.55,220.62,146.42,51.51,0.0,226.3
Rice,33.21,488.44,169.61,104.58,34.1,19.23,1803.12
Soybean,30.05,310.62,298.37,37.14,30.74,62.26,1533.31
Soybean,21.56,428.77,320.6,166.71,46.26,31.94,393.72
Rice,36.26,832.82,737.73,89.0,51.48,36.61,2699.28
Wheat,29.91,1198.59,272.38,85.82,67.96,53.11,389.04
Rice,23.38,893.96,130.47,103.88,63.82,76.11,2968.59
Soybean,12.5,618.05,340.95,130.89,29.17,66.5,119.02
Wheat,36.45,936.77,0.0,117.71,37.96,20.55,1649.03
Soybean,18.05,662.27,286.21,141.92,53.42,1.15,122.22
Rice,16.77,591.62,302.4,66.42,61.36,87.19,2068.54
Rice,30.11,453.69,419.19,90.3,58.78,85.38,2131.14
Soybean,37.2,274.45,446.04,115.36,38.72,43.77,443.89
Maize,31.92,683.02,224.46,195.92,14.92,14.59,4150.6
Maize,27.82,847.42,277.41,115.45,20.02,59.26,2417.85
Rice,27.97,771.01,185.08,163.41,45.45,37.84,2686.68
Rice,29.27,675.21,130.79,121.54,46.84,37.74,3366.49
Maize,28.79,516.28,346.48,100.65,18.03,57.89,2900.54
Maize,26.41,982.47,108.96,110.13,40.89,46.69,3291.08
Soybean,25.52,404.86,237.81,113.26,52.62,16.28,518.86
Soybean,24.69,1032.81,150.72,144.15,16.98,33.51,126.11
Maize,21.23,499.33,382.45,174.98,62.1,53.22,4213.96
Soybean,23.6,574.27,570.21,134.39,32.45,50.21,133.55
Soybean,16.54,359.96,104.76,167.48,65.15,45.24,585.06
Wheat,24.51,649.58,22.05,81.41,29.33,58.67,2653.97
Soybean,20.06,1092.59,281.27,103.41,19.47,32.77,112.93
Rice,19.48,954.69,302.35,91.03,30.84,43.57,2596.1
Soybean,25.9,1093.53,332.8,132.58,38.1,0.0,122.94
Soybean,31.96,956.64,233.05,105.64,32.23,31.01,106.54
Maize,29.59,468.9,269.9,149.19,35.68,55.28,3750.99
Rice,17.15,700.76,355.13,82.76,46.68,32.19,2408.73
Soybean,20.05,565.94,456.06,121.72,36.58,30.68,114.81
Soybean,29.7,1199.17,6.74,147.47,38.68,19.17,149.29
Wheat,20.09,440.96,244.66,37.39,5.82,60.07,1197.82
Soybean,23.88,1068.11,332.07,204.87,47.83,50.97,134.15
Soybean,27.75,1067.89,162.3,108.67,38.22,56.51,130.28
Wheat,20.16,1348.89,559.68,39.0,72.21,5.48,275.55
Maize,25.53,677.09,204.69,126.32,21.21,36.79,3297.75
Soybean,18.33,1013.7,293.81,121.34,3.83,34.4,110.78
Wheat,21.99,1484.5,383.4,116.72,52.36,34.39,473.75
Rice,26.6,614.71,211.31,159.65,46.93,27.68,2215.84
Maize,17.04,339.49,23.01,149.9,19.83,33.08,2452.61
